source_code,source_description,cnt
MULTIVITAMIN|1|TABLET|ORAL,MULTIVITAMIN|dose: 1|TABLET|ORAL,443
VITAMIN E|400|mg|ORAL,VITAMIN E|dose: 400|mg|ORAL,296
MULTIVITAMINS|1|TABLET|ORAL,MULTIVITAMINS|dose: 1|TABLET|ORAL,227
ASPIRIN|325|mg|ORAL,ACETYLSALICYLIC ACID|dose: 325|mg|ORAL,180
"HYDROCORTISONE, TOPICAL|1|TABLET|TOPICAL","HYDROCORTISONE, TOPICAL|dose: 1|TABLET|TOPICAL",152
PREMARIN|0.625|mg|ORAL,ESTROGENS CONJUGATED|dose: 0.625|mg|ORAL,139
VITAMIN C|500|mg|ORAL,VITAMIN C|dose: 500|mg|ORAL,129
TIMOPTIC|1|TABLET|OPHTHALMIC,TIMOPTIC|dose: 1|TABLET|OPHTHALMIC,126
HYDROCORTISONE|1|TABLET|TOPICAL,HYDROCORTISONE|dose: 1|TABLET|TOPICAL,99
     VITAMINS|1|TABLET|ORAL,     VITAMINS|dose: 1|TABLET|ORAL,90
ASPIRIN|1|TABLET|ORAL,ACETYLSALICYLIC ACID|dose: 1|TABLET|ORAL,88
VITAMIN C|1|TABLET|ORAL,VITAMIN C|dose: 1|TABLET|ORAL,86
CORTISONE|1|TABLET|TOPICAL,CORTISONE|dose: 1|TABLET|TOPICAL,83
NORVASC|5|mg|ORAL,AMLODIPINE|dose: 5|mg|ORAL,73
CENTRUM SILVER|1|TABLET|ORAL,CENTRUM SILVER|dose: 1|TABLET|ORAL,72
VITAMIN E|1|TABLET|ORAL,VITAMIN E|dose: 1|TABLET|ORAL,71
CALCIUM|1|TABLET|ORAL,CALCIUM|dose: 1|TABLET|ORAL,67
CLARITIN|10|mg|ORAL,CLARITIN|dose: 10|mg|ORAL,66
CENTRUM|1|TABLET|ORAL,CENTRUM|dose: 1|TABLET|ORAL,62
TYLENOL|650|mg|ORAL,TYLENOL|dose: 650|mg|ORAL,61
ZOCOR|10|mg|ORAL,ZOCOR|dose: 10|mg|ORAL,56
METAMUCIL|1|TABLET|ORAL,METAMUCIL|dose: 1|TABLET|ORAL,55
TYLENOL|325|mg|ORAL,TYLENOL|dose: 325|mg|ORAL,50
CALCIUM|500|mg|ORAL,CALCIUM|dose: 500|mg|ORAL,49
IBUPROFEN|200|mg|ORAL,IBUPROFEN|dose: 200|mg|ORAL,47
LORAZEPAM|0.5|mg|ORAL,LORAZEPAM|dose: 0.5|mg|ORAL,46
OCUVITE|1|TABLET|ORAL,OCUVITE|dose: 1|TABLET|ORAL,46
VITAMIN B12|1000|mg|INTRAMUSCULAR,VITAMIN B12|dose: 1000|mg|INTRAMUSCULAR,44
MOTRIN|400|mg|ORAL,MOTRIN|dose: 400|mg|ORAL,42
ASPIRIN|81|mg|ORAL,ACETYLSALICYLIC ACID|dose: 81|mg|ORAL,42
PRILOSEC|20|mg|ORAL,PRILOSEC|dose: 20|mg|ORAL,41
AXID|150|mg|ORAL,NIZATIDINE|dose: 150|mg|ORAL,40
ADVIL|2|TABLET|ORAL,ADVIL|dose: 2|TABLET|ORAL,38
BENADRYL|1|TABLET|TOPICAL,BENADRYL|dose: 1|TABLET|TOPICAL,38
TRUSOPT|1|TABLET|OPHTHALMIC,TRUSOPT|dose: 1|TABLET|OPHTHALMIC,37
GARLIC|1|TABLET|ORAL,GARLIC|dose: 1|TABLET|ORAL,36
POTASSIUM|1|TABLET|ORAL,POTASSIUM|dose: 1|TABLET|ORAL,34
FOSAMAX|10|mg|ORAL,FOSAMAX|dose: 10|mg|ORAL,34
