"STUDYID","DOMAIN","IETESTCD","IETEST","IECAT"
"CDISCPILOT01","TI","INCL01","Males and postmenopausal females at least 50 years of age.","INCLUSION"
"CDISCPILOT01","TI","INCL02","Diagnosis of probable AD as defined by NINCDS and the ADRDA guidelines (Protocol Attachment LZZT.7).","INCLUSION"
"CDISCPILOT01","TI","INCL03","MMSE score of 10 to 23.","INCLUSION"
"CDISCPILOT01","TI","INCL04","Modified Hachinski Ischemic Scale score of <= 4. (Protocol Attachment LZZT.8).","INCLUSION"
"CDISCPILOT01","TI","INCL05","CNS imaging (CT scan or MRI of brain) compatible with AD within past 1 year.","INCLUSION"
"CDISCPILOT01","TI","INCL06","Investigator has obtained informed consent signed by the patient (and/or legal representative) and by the caregiver.","INCLUSION"
"CDISCPILOT01","TI","INCL07","Geographic proximity to investigator's site that allows adequate follow-up.","INCLUSION"
"CDISCPILOT01","TI","INCL08","Caregiverwill monitor administration of prescribed medications, and will be responsible for the overall care of the patient at home.","INCLUSION"
"CDISCPILOT01","TI","EXCL09","Persons who have previously completed or withdrawn from this study or any other investigating xanomeline TTS or the oral formulation of xanomeline.","EXCLUSION"
"CDISCPILOT01","TI","EXCL10","Use of any investigational agent or approved Alzheimer's therapeutic medication within 30 days prior to enrollment into the study.","EXCLUSION"
"CDISCPILOT01","TI","EXCL11","Serious illness which required hospitalization within 3 months of screening.","EXCLUSION"
"CDISCPILOT01","TI","EXCL12","Diagnosis of serious neurological conditions.","EXCLUSION"
"CDISCPILOT01","TI","EXCL13","Episode of depression meeting DSM-IV criteria within 3 months of screening.","EXCLUSION"
"CDISCPILOT01","TI","EXCL14","A history of mental illness within the last 5 years.","EXCLUSION"
"CDISCPILOT01","TI","EXCL15","A history of syncope within the last 5 years.","EXCLUSION"
"CDISCPILOT01","TI","EXCL16","Evidence from ECG recording at screening of any listed condition.","EXCLUSION"
"CDISCPILOT01","TI","EXCL17","A history within the last 5 years of a serious cardiovascular disorder.","EXCLUSION"
"CDISCPILOT01","TI","EXCL18","A history within the last 5 years of a serious gastrointestinal disorder.","EXCLUSION"
"CDISCPILOT01","TI","EXCL19","A history within the last 5 years of a serious endocrine disorder.","EXCLUSION"
"CDISCPILOT01","TI","EXCL20","A history within the last 5 years of a serious respiratory disorder (see list).","EXCLUSION"
"CDISCPILOT01","TI","EXCL21","A history within the last 5 years of a serious genitourinary disorder.","EXCLUSION"
"CDISCPILOT01","TI","EXCL22","A history within the last 5 years of a serious rheumatologic disorder.","EXCLUSION"
"CDISCPILOT01","TI","EXCL23","A known history of human immunodeficiency virus (HIV) within the last 5 years.","EXCLUSION"
"CDISCPILOT01","TI","EXCL24","A history within the last 5 years of a serious infectious disease (see list in protocol).","EXCLUSION"
"CDISCPILOT01","TI","EXCL25","A history within the last 5 years of a primary or recurrent malignant disease (with exceptions, see list in protocol).","EXCLUSION"
"CDISCPILOT01","TI","EXCL26","Visual, hearing, or communication disabilities impairing the ability to participate in the study; (for example, inability to speak or understand English, illiteracy).","EXCLUSION"
"CDISCPILOT01","TI","EXCL27","Laboratory test values exceeding the Lilly Reference Range III for the patient's age in any of the following analytes: creatinine, total bilirubin, SGOT, SGPT, etc.","EXCLUSION"
"CDISCPILOT01","TI","EXCL28","Central laboratory test values below reference range for folate, and vitamin B12, and outside reference range for thyroid function tests.","EXCLUSION"
"CDISCPILOT01","TI","EXCL29","Positive syphilis screening with confirmatory testing.","EXCLUSION"
"CDISCPILOT01","TI","EXCL30","Central laboratory test value above reference range for glycosylated hemoglobin (A1C) (insulin dependent diabetes mellitus patients only).","EXCLUSION"
"CDISCPILOT01","TI","EXCL31","Treatment with medications within 1 month prior to enrollment (see list).","EXCLUSION"
